-120,-120,-120
-115,-115,-115
-110,-110,-110
-105,-105,-105
-100,-100,-100
-95,-95,-95
-90,-90,-90
-85,-85,-85
-80,-80,-80
-75,-75,-75
-70,-70,-70
-65,-65,-65
-60,-60,-60
-55,-55,-55
-50,-50,-50
-45,-45,-45
-40,-40,-40
-35,-35,-35
-30,-30,-30
-25,-25,-25
-20,-20,-20
-15,-15,-15
-10,-10,-10
-5,-5,-5
0,0,0
5,5,5
10,10,10
15,15,15
20,20,20
25,25,25
30,30,30
35,35,35
40,40,40
45,45,45
50,50,50
55,55,55
60,60,60
65,65,65
70,70,70
75,75,75
80,80,80
85,85,85
90,90,90
95,95,95
100,100,100
105,105,105
110,110,110
115,115,115
120,120,120
